Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Brunei Darussalam,,0.94,0.95,0.97,0.97,0.97,0.98,0.97,0.97,0.95,0.97,0.97,0.97,0.98,0.98,0.99,0.99,0.98,0.99,0.99,0.99,0.99,0.98,0.99,
Cambodia,,,,,0.84,0.82,,0.83,0.84,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.94,0.94,0.94,0.96,0.95,0.95,0.93,
Indonesia,0.96,0.98,0.99,0.97,0.97,0.96,0.96,0.97,0.94,0.97,0.97,0.98,0.98,0.98,0.99,0.98,0.98,0.97,0.99,0.99,1.04,1.04,1,,
Lao People's Democratic Republic,0.79,0.79,0.8,0.79,0.79,0.81,0.81,0.82,0.83,0.85,0.85,0.86,0.86,0.87,0.88,0.88,0.88,0.89,0.9,0.91,0.93,0.94,0.95,0.95,
Malaysia,1,1,1,1,1,1,1,,1,0.99,1,0.99,0.98,0.96,0.95,0.94,,,,,,,,,
Myanmar,0.93,0.94,0.94,0.94,0.94,0.94,,,,0.97,0.98,0.98,0.99,0.99,1,1,0.99,,0.99,0.98,0.99,,,,
Philippines,0.98,0.99,1,1,1.02,0.99,0.98,1,1,1,,1,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.98,,,,0.96,
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,,0.98,0.98,0.98,,,,,0.98,0.97,0.97,0.98,0.98,,0.98,0.97,0.98,0.98,0.98,0.98,0.98,0.97,0.97,0.97,
Viet Nam,,0.99,,,,0.99,,,0.95,0.93,0.95,0.95,0.95,0.95,0.95,0.95,0.97,0.97,,0.98,0.95,0.96,1.01,0.98,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
