Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Brunei Darussalam,,,1.36,1.4,1.42,,,,1.81,1.84,1.69,1.54,1.57,1.72,1.89,1.99,2,1.91,2.02,1.78,1.85,1.74,1.74,1.82,
Cambodia,,,,0.21,0.2,0.18,0.18,0.18,,,0.32,0.36,0.4,,0.45,0.46,0.47,0.49,0.51,0.56,0.59,0.61,,,
Indonesia,,,,0.66,,0.63,0.55,,,0.83,0.88,0.77,0.87,0.8,0.79,,0.9,0.98,0.91,0.94,0.87,0.85,1.03,,
Lao People's Democratic Republic,0.49,,,0.43,0.38,0.41,0.44,0.44,0.43,0.48,0.52,0.59,0.56,0.56,0.62,0.7,0.67,0.72,0.77,0.79,0.77,0.73,0.82,0.88,
Malaysia,,,,,,,,,1.07,1.02,1.06,1.2,1.23,1.33,1.22,1.24,1.17,1.2,1.2,1.19,1.23,1.2,1.21,,
Myanmar,,,1.22,1.34,,1.57,,,1.56,,,,,,,,,1.36,,,,1.34,1.23,,
Philippines,,,1.49,,,1.37,1.36,,1.33,1.27,,1.1,1.3,1.28,1.28,1.23,1.25,,1.24,1.24,1.26,1.25,1.24,1.26,
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,,,,1.14,,,,,,1.15,1.19,1.12,1.1,1.14,1.18,1.13,1.07,1.23,1.2,1.21,1.28,1.27,1.31,1.34,
Viet Nam,,,,,,,,,0.66,0.77,0.73,0.74,0.76,0.77,,0.71,0.96,1,0.98,0.99,1,1.02,,0.9,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
