Country Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Brunei Darussalam,1.5,1.100000024,0.899999976,0.699999988,0.600000024,0.600000024,0.5,0.400000006,0.400000006,0.300000012,0.300000012,0.300000012,0.300000012,0.400000006,0.400000006,0.400000006,0.400000006,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Cambodia,83,82.30000305,82.30000305,82.5,82,81.5,81.69999695,79.80000305,78.30000305,74.69999695,69.59999847,66.80000305,64.09999847,60.70000076,60.5,59,58.5,58.40000153,57.90000153,55.40000153,46,44.79999924,43.70000076,43.09999847,42,41.20000076,40.40000153
Indonesia,53.20000076,53.79999924,50.09999847,46.90000153,44.79999924,45,43,46.90000153,45.90000153,46.59999847,44.59999847,45.40000153,47.5,45.5,45,43.09999847,41.70000076,39.90000153,38.70000076,38.40000153,35.59999847,34.29999924,33.40000153,30.60000038,31.70000076,30.89999962,30.10000038
Lao PDR,89.5,89.59999847,89.5,89.30000305,89.09999847,88.40000153,88.30000305,88,87.69999695,88.5,88.30000305,88,87.80000305,87.40000153,87.19999695,87.30000305,86.90000153,86.69999695,86.5,86.19999695,85.80000305,85.40000153,85.19999695,84.69999695,84.30000305,83.80000305,83.19999695
Malaysia,22.70000076,19.60000038,18.5,17.39999962,16.39999962,16.70000076,14.10000038,15.19999981,13.60000038,14,12.10000038,11.5,11,10.5,10.10000038,10,9.899999619,9,9.100000381,9,6.900000095,7.900000095,8.399999619,8.5,8,7.699999809,7.5
Myanmar,62.90000153,63.20000076,62.79999924,62.59999847,61.29999924,60.20000076,59.29999924,58.70000076,58.79999924,58,56.79999924,55.29999924,54,52,50.5,48.90000153,47.29999924,45.79999924,45.59999847,45,44.09999847,38.59999847,37.40000153,35.70000076,33.70000076,32.29999924,30.89999962
Philippines,27.39999962,28.5,29.39999962,28,28.5,28.10000038,26.79999924,25.60000038,26,23.29999924,24.60000038,24.60000038,24.20000076,23.29999924,23.70000076,23.39999962,23.10000038,23.10000038,22.29999924,21.70000076,21.5,21.39999962,20,20.20000076,18.89999962,18.20000076,17.60000038
Singapore,0.100000001,0.100000001,0,0.100000001,0.100000001,0.100000001,0.100000001,0.200000003,0.100000001,0.200000003,0.200000003,0.100000001,0.200000003,0.100000001,0.200000003,0.300000012,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003
Thailand,60.40000153,61.90000153,57.20000076,56.5,53.29999924,51.29999924,51.40000153,49.70000076,46.79999924,47.40000153,43.79999924,44,42.59999847,40.40000153,40.59999847,40.59999847,40,40.29999924,36.40000153,36.09999847,36.59999847,37.5,39.29999924,32.90000153,33,32.40000153,31.70000076
Vietnam,73.09999847,72.09999847,71,70.80000305,70.40000153,70,65.80000305,65.5,65.30000305,66.19999695,65,63.09999847,61.59999847,59.90000153,57.79999924,55.40000153,54.29999924,53.70000076,53,52.09999847,50.90000153,49.70000076,48.79999924,48.09999847,45,43.70000076,42.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
