Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Brunei Darussalam,,22.52,,,19.5,17.2,19,19.9,23.8,26.7,30.3,28.9,29,30.3,,,,,,,,,,
Cambodia,,,,,,,,,,,41.14,43.34,,,43.52,,,,,,41.14,,40.9,
Indonesia,29.2,30.1,30.4,30.3,30.1,29,29.6,30,31.3,31.1,31.7,30.7,29.7,29.5,29,30.3,31.3,30.9,32.4,33.5,32.9,,,35.1
Lao People's Democratic Republic,20.3,,,,,,,,,,,,,,,32.1,,,,,34.6,,,
Malaysia,,35.34,,,,35.24,35.34,34.94,35.44,35.44,37.94,37.2,37.3,37.9,38.3,38.5,38.7,39,39.2,39.1,39.3,38.6,38.7,39.2
Myanmar,30.74,,,,,33.64,35.24,,35.74,,,,,,,,,,,,,,,
Philippines,,40.4,40.3,40.3,40.1,40,38.8,39.7,40.5,40.4,40.9,41.2,41.9,41.3,40.7,41.4,41.9,41.9,41.7,41.9,42,41.8,41.4,41.5
Singapore,,42.5,42.9,43.3,43,41,44.7,41.84,42.54,42.84,,43.64,43.24,43.54,44.04,,44.84,45.14,45.74,45.44,,,,46.84
Thailand,41.94,41.94,41.54,41.84,41.94,41.34,40.84,42.44,43.54,43.94,44.14,44.34,44.24,44.54,44.04,45.44,45.14,45.04,45.44,45.54,45.44,45.8,45.4,45.2
Viet Nam,,,,,,,41.04,41.04,42.24,41.94,40.74,40.74,40.84,40.14,40.44,,,,,,,,40.64,41.14
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
