Name,Year,Duration,Rating,Votes,Metascore,Description
Logan,2017,2h 17m,8.1, (840K),77,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety."
Thor: Ragnarok,2017,2h 10m,7.9, (822K),74,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela."
Guardians of the Galaxy Vol  2,2017,2h 16m,7.6, (765K),67,"The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father, the ambitious celestial being Ego."
Dunkirk,2017,1h 46m,7.8, (746K),94,"Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II."
Spider-Man: Homecoming,2017,2h 13m,7.4, (726K),73,"Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City."
Get Out,2017,1h 44m,7.8, (709K),85,"A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point."
Wonder Woman,2017,2h 21m,7.3, (703K),76,"When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny."
Star Wars: Episode VIII - The Last Jedi,2017,2h 32m,6.9, (677K),84,"Rey develops her abilities with the help of Luke Skywalker, as the Resistance prepares for battle against the First Order."
Blade Runner 2049,2017,2h 44m,8.0, (674K),81,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years."
Baby Driver,2017,1h 53m,7.5, (618K),86,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail."
It,2017,2h 15m,7.3, (612K),69,"In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town."
Coco,2017,1h 45m,8.4, (599K),81,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
"Three Billboards Outside Ebbing, Missouri",2017,1h 55m,8.1, (559K),88,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.
Money Heist,2017–2021,TV-MA,8.2, (538K),N/A,An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.
John Wick: Chapter 2,2017,2h 2m,7.4, (516K),75,"After returning to the criminal underworld to repay a debt, John Wick discovers that a large bounty has been put on his life."
Justice League,2017,2h,6.1, (481K),45,"Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne enlists the help of his new-found ally, Diana Prince, to face an even greater enemy."
Jumanji: Welcome to the Jungle,2017,1h 59m,7.0, (454K),58,"Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game."
Dark,2017–2020,TV-MA,8.7, (451K),N/A,"A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families."
The Shape of Water,2017,2h 3m,7.3, (450K),87,"At a top secret research facility in the 1960s, a lonely janitor forms a unique relationship with an amphibious creature that is being held in captivity."
Kingsman: The Golden Circle,2017,2h 21m,6.7, (366K),44,"After the Kingsman's headquarters is destroyed and the world is held hostage, an allied spy organization in the United States is discovered. These two elite secret agencies must band together to defeat a common enemy."
Kong: Skull Island,2017,1h 58m,6.7, (352K),62,"After the Vietnam war, a team of scientists explores an uncharted island in the Pacific, venturing into the domain of the mighty Kong and must fight to escape a primal Eden."
Ozark,2017–2022,TV-MA,8.5, (351K),N/A,"A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss."
Pirates of the Caribbean: Dead Men Tell No Tales,2017,2h 9m,6.5, (349K),39,Captain Jack Sparrow searches for the Trident of Poseidon to rule the sea while being pursued by old rival Captain Salazar and a crew of deadly ghosts who have escaped from the Devil's Triangle.
Mindhunter,2017–2019,TV-MA,8.6, (341K),N/A,"In the late 1970s, two FBI agents broaden the realm of criminal science by investigating the psychology behind murder and end up getting too close to real-life monsters."
Beauty and the Beast,2017,2h 9m,7.1, (336K),65,"A selfish Prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner."
